Patron #,Total All Revenue,Most Recent Donation Date,Total Donations,Total Ticket Revenue,Total Tickets,2002 Qty,2002 Total Cost,2003 Qty,2003 Total Cost,2004 Qty,2004 Total Cost,2005 Qty,2005 Total Cost,2006 Qty,2006 Total Cost,2007 Qty,2007 Total Cost,2008 Qty,2008 Total Cost,2009 Qty,2009 Total Cost,2010 Qty,2010 Total Cost,2011 Qty,2011 Total Cost,2012 Qty,2012 Total Cost,2013 Qty,2013 Total Cost,2014 Qty,2014 Total Cost,2015 Qty,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
27745,439.43,,0.00,439.43,45,8,100,7,49,10,81.6,6,54.83,0,0,0,0,6,68,0,0,8,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27758,160.00,,0.00,160.00,32,0,0,0,0,0,0,0,0,0,0,13,80,0,0,2,10,7,20,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27762,542.67,,0.00,542.67,20,0,0,0,0,6,202.67,0,0,0,0,0,0,0,0,6,142,4,52,2,50,0,0,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27763,1220.00,,0.00,1220.00,33,4,140,0,0,4,152,0,0,0,0,0,0,4,140,0,0,0,0,8,212,5,236,0,0,4,172,4,168,0,0,0,0,0,0,0,0,0,0,0,0
27770,298.00,,0.00,298.00,8,0,0,0,0,2,66,2,70,2,76,0,0,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27776,36.00,,0.00,36.00,3,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27777,417.00,,0.00,417.00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,35,2,87,1,49,0,0,2,96,2,110,0,0,0,0,0,0,0,0,0,0,0,0
27782,35.00,,0.00,35.00,1,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27784,108.00,,0.00,108.00,6,6,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27788,1156.00,,0.00,1156.00,34,0,0,0,0,0,0,7,214,8,216,6,212,0,0,4,164,7,262,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27790,60.00,,0.00,60.00,2,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27799,0.00,,0.00,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27807,1056.00,,0.00,1056.00,34,0,0,0,0,0,0,0,0,0,0,6,234,0,0,8,206,10,244,10,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27810,52.00,,0.00,52.00,2,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27811,699.50,,0.00,699.50,47,0,0,0,0,0,0,0,0,0,0,4,37.5,12,118,8,104,5,67,3,37,4,56,11,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27812,283.67,,0.00,283.67,7,0,0,0,0,0,0,0,0,3,95.67,0,0,0,0,0,0,0,0,0,0,0,0,4,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27815,70.00,,0.00,70.00,2,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27816,108.00,,0.00,108.00,4,0,0,0,0,0,0,0,0,4,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27821,154.00,,0.00,154.00,16,0,0,0,0,0,0,0,0,0,0,4,54,4,48,4,52,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27822,23.00,,0.00,23.00,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27829,133.00,,0.00,133.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27831,60.00,,0.00,60.00,2,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27834,258.60,,0.00,258.60,10,0,0,5,143.6,5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27835,103.33,,0.00,103.33,3,0,0,3,103.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27837,0.00,,0.00,0.00,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27839,101.40,,0.00,101.40,12,3,21,4,28,0,0,0,0,5,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27841,138.00,,0.00,138.00,6,0,0,0,0,6,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27842,197.00,,0.00,197.00,5,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27866,1693.00,12/8/2013,75.00,1618.00,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,170,2,98,12,488,12,492,8,370,0,0,0,0,0,0,0,0,0,25,25,25
27874,3319.80,3/18/2005,6.00,3313.80,147,30,422,23,509,21,426.8,10,178,13,298,12,294,11,304,4,142,6,186,0,0,0,0,0,0,8,266,9,288,0,6,0,0,0,0,0,0,0,0,0,0
27877,138.90,,0.00,138.90,13,0,0,2,28,0,0,4,36.5,5,50.4,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27884,436.99,,0.00,436.99,16,4,94,3,84.66,3,84.66,3,80.67,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27886,40.00,,0.00,40.00,2,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27887,762.17,,0.00,762.17,37,0,0,0,0,0,0,0,0,2,20.5,6,106.67,7,93,6,106,2,19.98,0,0,0,0,2,76,8,193.02,4,147,0,0,0,0,0,0,0,0,0,0,0,0
27889,902.50,,0.00,902.50,34,0,0,0,0,0,0,0,0,4,40.5,7,143,4,156,0,0,5,63,0,0,0,0,0,0,0,0,14,500,0,0,0,0,0,0,0,0,0,0,0,0
27890,42.00,,0.00,42.00,6,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27891,1352.00,,0.00,1352.00,46,0,0,0,0,12,360,16,480,18,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27895,45.00,,0.00,45.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27896,1169.67,,0.00,1169.67,44,0,0,8,277.67,0,0,0,0,2,22,0,0,0,0,0,0,18,454,16,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27901,248.00,,0.00,248.00,10,0,0,6,88,0,0,0,0,0,0,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27904,1033.00,,0.00,1033.00,29,0,0,10,310,6,198,0,0,9,357,4,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27905,257.00,,0.00,257.00,21,0,0,0,0,0,0,0,0,0,0,4,68,3,35,3,37,5,63,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27906,78.00,,0.00,78.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27907,57.66,,0.00,57.66,6,0,0,0,0,0,0,3,27.33,3,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27909,204.50,,0.00,204.50,6,0,0,0,0,2,18.5,0,0,0,0,0,0,0,0,0,0,0,0,4,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27910,47.00,,0.00,47.00,2,0,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27911,92.00,,0.00,92.00,2,0,0,0,0,0,0,0,0,0,0,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27921,113.50,,0.00,113.50,7,2,14,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27922,103.33,,0.00,103.33,3,0,0,3,103.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27923,2795.89,,0.00,2795.89,76,4,48,0,0,0,0,0,0,19,634,9,378.89,41,1618,0,0,0,0,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27924,76.00,,0.00,76.00,2,0,0,0,0,0,0,0,0,0,0,0,0,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27928,188.00,,0.00,188.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27937,406.83,,0.00,406.83,31,2,46,3,21,8,115,8,124,10,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27951,0.00,,0.00,0.00,5,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28128,0.00,,0.00,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28294,0.00,,0.00,0.00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28338,777.60,4/28/2014,350.00,427.60,82,0,0,0,0,6,0,6,0,6,0,10,0,8,316,6,0,14,0,14,0,2,0,0,0,4,0,6,111.6,0,0,0,0,0,0,0,0,0,0,350,0
28343,0.00,,0.00,0.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28358,125.00,,0.00,125.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,0,0,0,0,0,0,0,0,0,0,0,0
28364,999.00,,0.00,999.00,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,999,0,0,0,0,0,0,0,0,0,0,0,0
28386,26400.00,5/12/2014,26400.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,13900,0
28390,2823.00,,0.00,2823.00,313,0,0,0,0,0,0,0,0,0,0,0,0,40,370,40,333,37,320,50,460,48,440,46,420,0,0,52,480,0,0,0,0,0,0,0,0,0,0,0,0
28483,3300.00,,0.00,3300.00,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1250,115,1050,110,1000,0,0,0,0,0,0,0,0,0,0,0,0
28567,0.00,,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28634,2592.00,3/25/2014,2592.00,0.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,592,1000,1000
28704,230.00,,0.00,230.00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28787,0.00,,0.00,0.00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28985,0.00,,0.00,0.00,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28986,2865.00,,0.00,2865.00,84,0,0,0,0,0,0,8,180,6,186,8,256,8,234,6,234,8,316,6,222,8,320,10,310,8,275,8,332,0,0,0,0,0,0,0,0,0,0,0,0
28988,96.00,,0.00,96.00,51,0,0,8,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28989,7502.08,12/24/2013,1275.00,6227.08,297,68,565,65,643.08,12,298,10,234,22,611,20,575,13,412,16,544,13,378,15,514,11,370,10,310,10,346,12,427,100,200,115,115,120,50,100,100,100,75,100,100
28990,10.00,,0.00,10.00,4,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28991,5150.00,,0.00,5150.00,206,0,0,206,5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28992,897.00,,0.00,897.00,39,0,0,39,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28994,738.00,,0.00,738.00,90,0,0,0,0,0,0,0,0,0,0,90,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28995,938.00,,0.00,938.00,146,51,329,95,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28998,451.36,,0.00,451.36,48,3,21,17,119,0,0,0,0,8,70.76,5,59.6,5,59,7,85,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28999,4428.00,,0.00,4428.00,172,0,0,72,1656,0,0,0,0,0,0,0,0,0,0,100,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29000,1080.00,,0.00,1080.00,56,24,480,30,600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29002,309.00,,0.00,309.00,38,0,0,0,0,12,70,24,239,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29003,1383.67,,0.00,1383.67,54,17,521,20,513.67,15,270,0,0,0,0,0,0,1,39,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29004,0.00,,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29005,28.00,,0.00,28.00,7,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29006,15.00,,0.00,15.00,12,3,0,1,5,3,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29007,0.00,,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29008,21.00,,0.00,21.00,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29010,10.00,,0.00,10.00,7,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29012,204.50,,0.00,204.50,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,204.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29014,1235.00,3/30/2007,1000.00,235.00,8,0,0,0,0,0,0,0,0,0,0,4,135,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,0,500,250,0,250,0,0,0,0,0,0,0,0
29016,66.00,,0.00,66.00,4,0,0,0,0,2,66,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29018,48.00,,0.00,48.00,2,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29022,294.50,,0.00,294.50,10,0,0,0,0,0,0,2,18.5,4,140,4,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29023,1558.00,2/7/2011,150.00,1408.00,39,2,0,0,0,0,0,6,320,4,296,4,304,9,264,0,0,2,0,6,224,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,75
29025,2909.00,,0.00,2909.00,72,16,360,0,0,0,0,11,544,0,0,4,304,4,166,4,170,0,0,6,237,6,264,6,246,6,285,9,333,0,0,0,0,0,0,0,0,0,0,0,0
29029,84.00,,0.00,84.00,2,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29030,847.09,,0.00,847.09,100,0,0,80,365.09,0,0,0,0,2,30,2,40,7,146,0,0,2,56,3,84,2,70,0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29031,37.00,,0.00,37.00,14,0,0,0,0,0,0,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29032,0.00,,0.00,0.00,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29034,80.00,11/30/2010,50.00,30.00,12,0,0,0,0,0,0,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
29036,0.00,,0.00,0.00,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29037,6673.50,5/31/2014,2255.00,4418.50,638,0,0,0,0,23,9,39,294,46,390,66,204,60,606,55,150,73,245,74,802.5,51,341,41,272,46,456,64,649,200,250,0,120,0,0,0,0,0,20,1165,500
29038,37.00,,0.00,37.00,4,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29039,384.00,,0.00,384.00,25,5,0,0,0,1,26,8,186,4,92,0,0,0,0,0,0,0,0,0,0,3,44,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29040,1905.00,4/30/2014,875.00,1030.00,55,0,0,2,0,6,161,6,80,8,189,2,24,5,48,6,114,2,50,0,0,2,50,10,162,2,43,4,109,50,50,100,100,100,100,100,100,50,50,75,0
29042,2314.00,,0.00,2314.00,109,0,0,0,0,0,0,0,0,4,60,10,187,10,205,10,232,10,256,12,288,14,358,13,268,16,340,10,120,0,0,0,0,0,0,0,0,0,0,0,0
29043,6600.00,,0.00,6600.00,264,264,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29044,1045.33,,0.00,1045.33,33,10,240,3,103.33,0,0,3,111,0,0,2,40,2,46,5,125,2,102,2,90,0,0,2,90,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29045,2531.00,,0.00,2531.00,235,123,960,112,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29052,25.00,,0.00,25.00,8,1,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29053,61.00,,0.00,61.00,32,0,0,0,0,2,0,0,0,0,0,0,0,5,0,5,0,0,0,7,11,2,0,0,0,2,0,9,50,0,0,0,0,0,0,0,0,0,0,0,0
29054,80.00,,0.00,80.00,4,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29056,50.00,,0.00,50.00,2,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29057,585.66,7/7/2007,19.00,566.66,25,0,0,0,0,0,0,0,0,0,0,3,123.66,3,123,4,170,0,0,7,70,0,0,2,20,6,60,0,0,0,0,0,19,0,0,0,0,0,0,0,0
29058,62.60,,0.00,62.60,5,0,0,0,0,0,0,0,0,0,0,5,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29059,52.00,,0.00,52.00,2,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29060,50.00,,0.00,50.00,2,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29061,37.00,,0.00,37.00,1,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29063,8952.00,,0.00,8952.00,292,0,0,0,0,0,0,0,0,0,0,30,705,32,900,26,885,35,805,52,1466,34,1260,33,1191,30,1040,20,700,0,0,0,0,0,0,0,0,0,0,0,0
29064,32.67,,0.00,32.67,3,0,0,0,0,0,0,0,0,3,32.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29066,106.00,,0.00,106.00,13,0,0,0,0,9,18,1,0,2,43,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29067,99.00,,0.00,99.00,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,0,0,0,0,0,0,0,0,0,0,0
29070,120.00,,0.00,120.00,8,2,0,2,0,0,0,0,0,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29071,238.00,,0.00,238.00,6,0,0,0,0,0,0,2,70,0,0,4,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29072,103.00,,0.00,103.00,97,0,0,0,0,4,0,18,60,11,0,0,0,9,0,10,0,6,0,0,0,11,0,6,0,15,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0
29074,0.00,,0.00,0.00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29075,80.00,,0.00,80.00,2,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29079,85.28,,0.00,85.28,7,0,0,0,0,0,0,0,0,0,0,7,85.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29082,586.00,,0.00,586.00,16,0,0,0,0,2,76,0,0,0,0,2,72,0,0,0,0,0,0,0,0,0,0,2,84,0,0,10,354,0,0,0,0,0,0,0,0,0,0,0,0
29084,285.37,,0.00,285.37,20,7,113.8,0,0,0,0,7,63.57,4,42,0,0,0,0,0,0,0,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29088,665.00,,0.00,665.00,19,0,0,0,0,0,0,2,59,0,0,0,0,6,174,0,0,0,0,6,282,0,0,5,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29089,62.60,,0.00,62.60,5,0,0,0,0,0,0,0,0,0,0,5,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29091,71.00,,0.00,71.00,2,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29094,750.00,,0.00,750.00,18,0,0,0,0,4,264,0,0,0,0,4,144,6,140,2,100,2,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29095,10739.00,,0.00,10739.00,612,140,2940,140,2967,155,2240,177,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29098,772.50,,0.00,772.50,28,2,14,3,105,6,96.5,8,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,135,6,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29099,0.00,,0.00,0.00,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
